지역,연도,분기,소비금액,소비금액(억)
경기도 수원시 영통구 광교1동,2024,1,159391467964,1593.9
경기도 화성시 동탄6동,2024,1,128045029274,1280.5
경기도 안산시 단원구 선부3동,2024,1,96587649854,965.9
경기도 수원시 팔달구 지동,2024,1,54109669250,541.1
경기도 안산시 상록구 반월동,2024,1,38221367646,382.2
경기도 하남시 초이동,2024,1,26749120747,267.5
경기도 안양시 동안구 호계3동,2024,1,25217937578,252.2
경기도 안양시 만안구 석수2동,2024,1,24018630233,240.2
경기도 화성시 양감면,2024,1,17374090994,173.7
경기도 화성시 양감면 대양리,2024,1,17374090994,173.7
경기도 화성시 양감면 사창리,2024,1,17374090994,173.7
경기도 화성시 양감면 송산리,2024,1,17374090994,173.7
경기도 화성시 양감면 신왕리,2024,1,17374090994,173.7
경기도 화성시 양감면 요당리,2024,1,17374090994,173.7
경기도 화성시 양감면 용소리,2024,1,17374090994,173.7
경기도 화성시 양감면 정문리,2024,1,17374090994,173.7
경기도 수원시 장안구 연무동,2024,1,16643757559,166.4
경기도 수원시 권선구 입북동,2024,1,14587705891,145.9
경기도 광명시 철산2동,2024,1,6486844626,64.9
경기도 포천시 관인면,2024,1,2483790155,24.8
경기도 포천시 관인면 냉정리,2024,1,2483790155,24.8
경기도 포천시 관인면 사정리,2024,1,2483790155,24.8
경기도 포천시 관인면 삼율리,2024,1,2483790155,24.8
경기도 포천시 관인면 중리,2024,1,2483790155,24.8
경기도 포천시 관인면 초과리,2024,1,2483790155,24.8
경기도 포천시 관인면 탄동리,2024,1,2483790155,24.8
경기도 수원시 영통구 광교1동,2024,2,152631372306,1526.3
경기도 화성시 동탄6동,2024,2,128456385044,1284.6
경기도 안산시 단원구 선부3동,2024,2,99716406477,997.2
경기도 수원시 팔달구 지동,2024,2,53904776804,539.0
경기도 안산시 상록구 반월동,2024,2,41015614346,410.2
경기도 하남시 초이동,2024,2,27483518752,274.8
경기도 안양시 만안구 석수2동,2024,2,25569565967,255.7
경기도 안양시 동안구 호계3동,2024,2,25235441880,252.4
경기도 수원시 장안구 연무동,2024,2,19029407855,190.3
경기도 화성시 양감면,2024,2,17243944401,172.4
경기도 화성시 양감면 대양리,2024,2,17243944401,172.4
경기도 화성시 양감면 사창리,2024,2,17243944401,172.4
경기도 화성시 양감면 송산리,2024,2,17243944401,172.4
경기도 화성시 양감면 신왕리,2024,2,17243944401,172.4
경기도 화성시 양감면 요당리,2024,2,17243944401,172.4
경기도 화성시 양감면 용소리,2024,2,17243944401,172.4
경기도 화성시 양감면 정문리,2024,2,17243944401,172.4
경기도 수원시 권선구 입북동,2024,2,15729311861,157.3
경기도 광명시 철산2동,2024,2,6832866741,68.3
경기도 포천시 관인면,2024,2,3509975407,35.1
경기도 포천시 관인면 냉정리,2024,2,3509975407,35.1
경기도 포천시 관인면 사정리,2024,2,3509975407,35.1
경기도 포천시 관인면 삼율리,2024,2,3509975407,35.1
경기도 포천시 관인면 중리,2024,2,3509975407,35.1
경기도 포천시 관인면 초과리,2024,2,3509975407,35.1
경기도 포천시 관인면 탄동리,2024,2,3509975407,35.1
경기도 수원시 영통구 광교1동,2024,3,145868360018,1458.7
경기도 화성시 동탄6동,2024,3,141202116284,1412.0
경기도 안산시 단원구 선부3동,2024,3,104053440093,1040.5
경기도 수원시 팔달구 지동,2024,3,55240417731,552.4
경기도 안산시 상록구 반월동,2024,3,39839746491,398.4
경기도 하남시 초이동,2024,3,27080963544,270.8
경기도 안양시 만안구 석수2동,2024,3,26974532270,269.7
경기도 안양시 동안구 호계3동,2024,3,25982506086,259.8
경기도 수원시 장안구 연무동,2024,3,17427233031,174.3
경기도 화성시 양감면,2024,3,17358904792,173.6
경기도 화성시 양감면 대양리,2024,3,17358904792,173.6
경기도 화성시 양감면 사창리,2024,3,17358904792,173.6
경기도 화성시 양감면 송산리,2024,3,17358904792,173.6
경기도 화성시 양감면 신왕리,2024,3,17358904792,173.6
경기도 화성시 양감면 요당리,2024,3,17358904792,173.6
경기도 화성시 양감면 용소리,2024,3,17358904792,173.6
경기도 화성시 양감면 정문리,2024,3,17358904792,173.6
경기도 수원시 권선구 입북동,2024,3,14928595505,149.3
경기도 광명시 철산2동,2024,3,6809574543,68.1
경기도 포천시 관인면,2024,3,3481032937,34.8
경기도 포천시 관인면 냉정리,2024,3,3481032937,34.8
경기도 포천시 관인면 사정리,2024,3,3481032937,34.8
경기도 포천시 관인면 삼율리,2024,3,3481032937,34.8
경기도 포천시 관인면 중리,2024,3,3481032937,34.8
경기도 포천시 관인면 초과리,2024,3,3481032937,34.8
경기도 포천시 관인면 탄동리,2024,3,3481032937,34.8
경기도 수원시 영통구 광교1동,2024,4,152677084826,1526.8
경기도 화성시 동탄6동,2024,4,149285958546,1492.9
경기도 안산시 단원구 선부3동,2024,4,101717512166,1017.2
경기도 수원시 팔달구 지동,2024,4,56640685971,566.4
경기도 안산시 상록구 반월동,2024,4,40687651621,406.9
경기도 하남시 초이동,2024,4,28450406632,284.5
경기도 안양시 동안구 호계3동,2024,4,27069131645,270.7
경기도 안양시 만안구 석수2동,2024,4,26908065667,269.1
경기도 화성시 양감면,2024,4,18109382206,181.1
경기도 화성시 양감면 대양리,2024,4,18109382206,181.1
경기도 화성시 양감면 사창리,2024,4,18109382206,181.1
경기도 화성시 양감면 송산리,2024,4,18109382206,181.1
경기도 화성시 양감면 신왕리,2024,4,18109382206,181.1
경기도 화성시 양감면 요당리,2024,4,18109382206,181.1
경기도 화성시 양감면 용소리,2024,4,18109382206,181.1
경기도 화성시 양감면 정문리,2024,4,18109382206,181.1
경기도 수원시 장안구 연무동,2024,4,17518725477,175.2
경기도 수원시 권선구 입북동,2024,4,14500984056,145.0
경기도 광명시 철산2동,2024,4,6835585031,68.4
경기도 포천시 관인면,2024,4,3105966751,31.1
경기도 포천시 관인면 냉정리,2024,4,3105966751,31.1
경기도 포천시 관인면 사정리,2024,4,3105966751,31.1
경기도 포천시 관인면 삼율리,2024,4,3105966751,31.1
경기도 포천시 관인면 중리,2024,4,3105966751,31.1
경기도 포천시 관인면 초과리,2024,4,3105966751,31.1
경기도 포천시 관인면 탄동리,2024,4,3105966751,31.1
